target_id,role,fold,phi,k,n_lig,n_active,n_subsets,metric,h_raw,h_nested,h_ab,h_ba,h_nested_lower95,noise_floor,noise_ci95_low,noise_ci95_high,mde,ratio,h_perm,h_perm_alt,perm_null_q95,u_test_ref,ref_source,ref_columns,u_test_oracle,oracle_columns,u_train_oracle,u_test_of_train_selected,columns_a,columns_b,columns_train_oracle,seed_tag,run_id,method,u_test,selected_receptor_ids,pr_auc,bedroc20,roc_auc,ef1,ef5,ef10
MK14,primary,1,gmean,2,120,24,105,pr_auc,0.036305325062965965,0.01632907293104241,0.0036769418808808574,0.028981203981203962,-0.01844676369360805,0.07773101082485304,-0.038560346864727736,0.2677426454022676,0.2187641887411959,0.2100715371865651,-0.3842281552309488,0.11351096630332008,0.42053348029391474,0.49773912153426886,greedy,1DI9+1KV2,0.5340444465972348,11OY+1KV2,0.5971737975498194,0.49773912153426886,11OY+1KV2,11OY+1KV2,1DI9+1KV2,bootstrap_seed=0,e1_smoke3,oracle,0.5340444465972348,11OY+1KV2,0.5340444465972348,0.7026943176344955,0.7673611111111112,5.0,5.0,2.5
MK14,primary,1,gmean,2,120,24,105,pr_auc,0.036305325062965965,0.01632907293104241,0.0036769418808808574,0.028981203981203962,-0.01844676369360805,0.07773101082485304,-0.038560346864727736,0.2677426454022676,0.2187641887411959,0.2100715371865651,-0.3842281552309488,0.11351096630332008,0.42053348029391474,0.49773912153426886,greedy,1DI9+1KV2,0.5340444465972348,11OY+1KV2,0.5971737975498194,0.49773912153426886,11OY+1KV2,11OY+1KV2,1DI9+1KV2,bootstrap_seed=0,e1_smoke3,ref,0.49773912153426886,1DI9+1KV2,0.49773912153426886,0.6692785214433037,0.7322048611111112,5.0,4.166666666666667,2.9166666666666665
MK14,primary,1,gmean,2,120,24,105,pr_auc,0.036305325062965965,0.01632907293104241,0.0036769418808808574,0.028981203981203962,-0.01844676369360805,0.07773101082485304,-0.038560346864727736,0.2677426454022676,0.2187641887411959,0.2100715371865651,-0.3842281552309488,0.11351096630332008,0.42053348029391474,0.49773912153426886,greedy,1DI9+1KV2,0.5340444465972348,11OY+1KV2,0.5971737975498194,0.49773912153426886,11OY+1KV2,11OY+1KV2,1DI9+1KV2,bootstrap_seed=0,e1_smoke3,greedy,0.49773912153426886,1DI9+1KV2,0.49773912153426886,0.6692785214433037,0.7322048611111112,5.0,4.166666666666667,2.9166666666666665
MK14,primary,1,gmean,2,120,24,105,pr_auc,0.036305325062965965,0.01632907293104241,0.0036769418808808574,0.028981203981203962,-0.01844676369360805,0.07773101082485304,-0.038560346864727736,0.2677426454022676,0.2187641887411959,0.2100715371865651,-0.3842281552309488,0.11351096630332008,0.42053348029391474,0.49773912153426886,greedy,1DI9+1KV2,0.5340444465972348,11OY+1KV2,0.5971737975498194,0.49773912153426886,11OY+1KV2,11OY+1KV2,1DI9+1KV2,bootstrap_seed=0,e1_smoke3,single,0.3777867443659651,1DI9,0.3777867443659651,0.4066113010382992,0.7348090277777778,2.5,1.6666666666666665,1.6666666666666665
MK14,primary,1,gmean,2,120,24,105,pr_auc,0.036305325062965965,0.01632907293104241,0.0036769418808808574,0.028981203981203962,-0.01844676369360805,0.07773101082485304,-0.038560346864727736,0.2677426454022676,0.2187641887411959,0.2100715371865651,-0.3842281552309488,0.11351096630332008,0.42053348029391474,0.49773912153426886,greedy,1DI9+1KV2,0.5340444465972348,11OY+1KV2,0.5971737975498194,0.49773912153426886,11OY+1KV2,11OY+1KV2,1DI9+1KV2,bootstrap_seed=0,e1_smoke3,train_selected,0.49773912153426886,1DI9+1KV2,0.49773912153426886,0.6692785214433037,0.7322048611111112,5.0,4.166666666666667,2.9166666666666665
MK14,primary,1,gmean,3,120,24,455,pr_auc,0.0667202598922384,0.056042023731809665,0.06504983167940359,0.04703421578421574,0.010113599361376858,0.07479187745903759,-0.04722742394385926,0.24240320539173074,0.21049236621435935,0.7493062834597655,-0.34858652876838675,0.14278059525661918,0.41530678866062515,0.49136712402500593,greedy,1DI9+1KV2+1R39,0.5580873839172443,11OY+1KV2+1OUY,0.601562798296462,0.49136712402500593,11OY+1KV2+1OUY,11OY+1DI9+1KV2,1DI9+1KV2+1R39,bootstrap_seed=0,e1_smoke3,oracle,0.5580873839172443,11OY+1KV2+1OUY,0.5580873839172443,0.7428050343099126,0.7795138888888888,5.0,5.0,3.333333333333333
MK14,primary,1,gmean,3,120,24,455,pr_auc,0.0667202598922384,0.056042023731809665,0.06504983167940359,0.04703421578421574,0.010113599361376858,0.07479187745903759,-0.04722742394385926,0.24240320539173074,0.21049236621435935,0.7493062834597655,-0.34858652876838675,0.14278059525661918,0.41530678866062515,0.49136712402500593,greedy,1DI9+1KV2+1R39,0.5580873839172443,11OY+1KV2+1OUY,0.601562798296462,0.49136712402500593,11OY+1KV2+1OUY,11OY+1DI9+1KV2,1DI9+1KV2+1R39,bootstrap_seed=0,e1_smoke3,ref,0.49136712402500593,1DI9+1KV2+1R39,0.49136712402500593,0.6577012098694497,0.7387152777777778,5.0,4.166666666666667,2.5
MK14,primary,1,gmean,3,120,24,455,pr_auc,0.0667202598922384,0.056042023731809665,0.06504983167940359,0.04703421578421574,0.010113599361376858,0.07479187745903759,-0.04722742394385926,0.24240320539173074,0.21049236621435935,0.7493062834597655,-0.34858652876838675,0.14278059525661918,0.41530678866062515,0.49136712402500593,greedy,1DI9+1KV2+1R39,0.5580873839172443,11OY+1KV2+1OUY,0.601562798296462,0.49136712402500593,11OY+1KV2+1OUY,11OY+1DI9+1KV2,1DI9+1KV2+1R39,bootstrap_seed=0,e1_smoke3,greedy,0.49136712402500593,1DI9+1KV2+1R39,0.49136712402500593,0.6577012098694497,0.7387152777777778,5.0,4.166666666666667,2.5
MK14,primary,1,gmean,3,120,24,455,pr_auc,0.0667202598922384,0.056042023731809665,0.06504983167940359,0.04703421578421574,0.010113599361376858,0.07479187745903759,-0.04722742394385926,0.24240320539173074,0.21049236621435935,0.7493062834597655,-0.34858652876838675,0.14278059525661918,0.41530678866062515,0.49136712402500593,greedy,1DI9+1KV2+1R39,0.5580873839172443,11OY+1KV2+1OUY,0.601562798296462,0.49136712402500593,11OY+1KV2+1OUY,11OY+1DI9+1KV2,1DI9+1KV2+1R39,bootstrap_seed=0,e1_smoke3,single,0.3777867443659651,1DI9,0.3777867443659651,0.4066113010382992,0.7348090277777778,2.5,1.6666666666666665,1.6666666666666665
MK14,primary,1,gmean,3,120,24,455,pr_auc,0.0667202598922384,0.056042023731809665,0.06504983167940359,0.04703421578421574,0.010113599361376858,0.07479187745903759,-0.04722742394385926,0.24240320539173074,0.21049236621435935,0.7493062834597655,-0.34858652876838675,0.14278059525661918,0.41530678866062515,0.49136712402500593,greedy,1DI9+1KV2+1R39,0.5580873839172443,11OY+1KV2+1OUY,0.601562798296462,0.49136712402500593,11OY+1KV2+1OUY,11OY+1DI9+1KV2,1DI9+1KV2+1R39,bootstrap_seed=0,e1_smoke3,train_selected,0.49136712402500593,1DI9+1KV2+1R39,0.49136712402500593,0.6577012098694497,0.7387152777777778,5.0,4.166666666666667,2.5
