target_id,role,phi,k,n_folds,h_nested,h_lower95,noise_floor,ratio,h_raw,h_perm,go_folds,verdict
BACE1_min,sensitivity,gmean,1,5,-0.06549448163128217,-0.16421678819737462,0.0,nan,0.010181566177978652,,0,NO-GO
BACE1_min,sensitivity,gmean,2,5,-0.03764384926181497,-0.16864535140963974,0.03513277652688833,-1.071473791233233,0.04460975060265811,-0.33484564138486617,0,NO-GO
BACE1_min,sensitivity,gmean,3,5,-0.02562511555997051,-0.14240274422160373,0.032233998902188095,-0.7949716582707658,0.04758396045158023,-0.32795272839252326,0,NO-GO
BACE1_min,sensitivity,gmean,4,5,-0.045823405070950576,-0.17331559503625954,0.03431880474286235,-1.3352273021828058,0.04784074570278487,,0,NO-GO
BACE1_min,sensitivity,gmean,5,5,-0.049877204334798274,-0.16432689972606646,0.03976309019832529,-1.254359359044458,0.04430903222095086,,0,NO-GO
BACE1_min,sensitivity,gmean,6,5,-0.03996543281827482,-0.15813521199140343,0.04128871228774776,-0.9679505754441845,0.03343299410259779,,0,NO-GO
BACE1_min,sensitivity,hmean,1,5,-0.06549448163128217,-0.16421678819737462,0.0,nan,0.010181566177978652,,0,NO-GO
BACE1_min,sensitivity,hmean,2,5,-0.025263536709066736,-0.1427710303188061,0.03428375999754498,-0.7368951570911658,0.04765316442051905,-0.3311688963278959,0,NO-GO
BACE1_min,sensitivity,hmean,3,5,-0.05596556085325645,-0.18453494605875878,0.03449501662191577,-1.622424521972828,0.04678304928225323,-0.3287909569742447,0,NO-GO
BACE1_min,sensitivity,hmean,4,5,-0.05117402316436823,-0.17480690442356892,0.03692745873242577,-1.3857986690926187,0.0495514444880925,,0,NO-GO
BACE1_min,sensitivity,hmean,5,5,-0.028202355976701447,-0.1478202716373695,0.03890261595285371,-0.7249475462236277,0.04748217883106998,,0,NO-GO
BACE1_min,sensitivity,hmean,6,5,-0.03015977444629232,-0.1451655629368215,0.04372267297724479,-0.6897971325309593,0.042240580783254246,,0,NO-GO
BACE1_min,sensitivity,max,1,5,-0.06549448163128217,-0.16421678819737462,0.0,nan,0.010181566177978652,,0,NO-GO
BACE1_min,sensitivity,max,2,5,-0.041374531628748296,-0.1268350457619391,0.031843156779466045,-1.2993225488067353,0.01912821430787126,-0.37141991968549043,0,NO-GO
BACE1_min,sensitivity,max,3,5,-0.036609097408369755,-0.16944914321284674,0.03718338443099252,-0.9845552783478178,0.03527552009856679,-0.3613275882987977,0,NO-GO
BACE1_min,sensitivity,max,4,5,-0.03705245311801454,-0.15364771205731884,0.04020022082995674,-0.921697750734829,0.03227898265632008,,0,NO-GO
BACE1_min,sensitivity,max,5,5,-0.03158895703159563,-0.16652141548826718,0.04518572427636333,-0.6990915280762651,0.03323085893256363,,0,NO-GO
BACE1_min,sensitivity,max,6,5,-0.07463135165272568,-0.23434031260188667,0.056085737794821476,-1.3306654166831084,0.01235850190512804,,0,NO-GO
BACE1_min,sensitivity,mean,1,5,-0.06549448163128217,-0.16421678819737462,0.0,nan,0.010181566177978652,,0,NO-GO
BACE1_min,sensitivity,mean,2,5,-0.06492991148835013,-0.1976593987661412,0.030437552043274325,-2.133217263860004,0.028547613476975008,-0.35091922457952585,0,NO-GO
BACE1_min,sensitivity,mean,3,5,-0.07375191781444897,-0.19703108758791385,0.03176204525653487,-2.3220141278299735,0.04660235423390054,-0.33333694287840526,0,NO-GO
BACE1_min,sensitivity,mean,4,5,-0.07210496574654246,-0.20446609418517347,0.03679769718598424,-1.9594966875809363,0.045792258043766375,,0,NO-GO
BACE1_min,sensitivity,mean,5,5,-0.0568459704111985,-0.17680484741927355,0.042521315236576,-1.3368817520089482,0.039579156942488924,,0,NO-GO
BACE1_min,sensitivity,mean,6,5,-0.07872784807132002,-0.20635717922198094,0.04256634289961031,-1.8495328165023255,0.021818393058530904,,0,NO-GO
BACE1_min,sensitivity,min,1,5,-0.06549448163128217,-0.16421678819737462,0.0,nan,0.010181566177978652,,0,NO-GO
BACE1_min,sensitivity,min,2,5,-0.07822198063432348,-0.1885731840486455,0.025422923519275692,-3.076828696550791,0.019638160036552565,-0.35934745832003934,0,NO-GO
BACE1_min,sensitivity,min,3,5,-0.010592258957632711,-0.12950725946895608,0.04921083162542053,-0.21524242951751163,0.08330900593562987,-0.2992408036138693,0,NO-GO
BACE1_min,sensitivity,min,4,5,-0.0061662163740119486,-0.11606548116246349,0.048450158094877536,-0.12726927251582862,0.09739573842841036,,0,NO-GO
BACE1_min,sensitivity,min,5,5,0.01863699734180614,-0.08469050514746043,0.055480035469875746,0.3359225924057954,0.10303180252726052,,0,NO-GO
BACE1_min,sensitivity,min,6,5,0.02280063936132143,-0.07344197931791593,0.056452909137089634,0.40388776610170085,0.10442217375813223,,0,NO-GO
BACE1_min,sensitivity,ranksum,1,5,-0.05014657856936293,-0.18748229042596384,0.0,nan,0.015952953656351555,,0,NO-GO
BACE1_min,sensitivity,ranksum,2,5,-0.07186948895873743,-0.1649283429844429,0.03180362638006045,-2.259789122783703,0.02214275138539843,-0.3632245625730916,0,NO-GO
BACE1_min,sensitivity,ranksum,3,5,-0.07709056883850059,-0.19585680306591965,0.029370216289636486,-2.6247872360988573,0.010486878236287056,-0.3723041586108221,0,NO-GO
BACE1_min,sensitivity,ranksum,4,5,-0.07601630014226275,-0.19038445300699708,0.036125176407483084,-2.1042471678149783,0.032962192906183865,,0,NO-GO
BACE1_min,sensitivity,ranksum,5,5,-0.042627027409622584,-0.16619785161698847,0.035215494864740834,-1.2104622574054034,0.03915202928509333,,0,NO-GO
BACE1_min,sensitivity,ranksum,6,5,-0.05468044206176281,-0.17028818311698685,0.04196983098840481,-1.3028511379249923,0.01872780512014629,,0,NO-GO
BACE1_min,sensitivity,rrf,1,5,-0.05014657856936293,-0.18748229042596384,0.0,nan,0.015952953656351555,,0,NO-GO
BACE1_min,sensitivity,rrf,2,5,-0.04771483911723708,-0.14838127207461735,0.02831478925135819,-1.685156074928169,0.028720024341472493,-0.35282450251618325,0,NO-GO
BACE1_min,sensitivity,rrf,3,5,-0.06355697109017804,-0.16622032611145526,0.02938300699172755,-2.1630519676924753,0.03613737627457958,-0.342094778406215,0,NO-GO
BACE1_min,sensitivity,rrf,4,5,-0.08207642249529472,-0.19509091007172613,0.03347504679355088,-2.4518687905495957,0.04407835915208569,,0,NO-GO
BACE1_min,sensitivity,rrf,5,5,-0.07883859690489776,-0.1857098788225349,0.03941016247841841,-2.00046363544101,0.03955135288269444,,0,NO-GO
BACE1_min,sensitivity,rrf,6,5,-0.05420910904078876,-0.16161232209699267,0.04081079068881159,-1.328303326787794,0.029203449106110935,,0,NO-GO
BACE1_min,sensitivity,zmean,1,5,-0.06549448163128217,-0.16421678819737462,0.0,nan,0.010181566177978652,,0,NO-GO
BACE1_min,sensitivity,zmean,2,5,-0.06332325839698627,-0.18160534061765837,0.03411143354188301,-1.856364620948461,0.04260840883222918,-0.3380232858378852,0,NO-GO
BACE1_min,sensitivity,zmean,3,5,-0.05385007507623383,-0.1880909243539484,0.030642672229775608,-1.7573557120748593,0.042127545579355,-0.33978621865841707,0,NO-GO
BACE1_min,sensitivity,zmean,4,5,-0.07232192252621869,-0.2095110413400644,0.03687116205699833,-1.9614766254021991,0.04395602284853665,,0,NO-GO
BACE1_min,sensitivity,zmean,5,5,-0.06148733221753048,-0.17718197559145446,0.040835481069687124,-1.5057330195914742,0.037606953839007376,,0,NO-GO
BACE1_min,sensitivity,zmean,6,5,-0.06789553158343367,-0.19848987545755234,0.0425121507890836,-1.597085311450958,0.01973726461859384,,0,NO-GO
BACE1_seed20260821,sensitivity,gmean,1,5,-0.07188597069253046,-0.21341385850205458,0.0,nan,0.03762970236614428,,0,NO-GO
BACE1_seed20260821,sensitivity,gmean,2,5,-0.045441666915807324,-0.1782049356733419,0.04084219303928325,-1.112615742061161,0.06457974945544673,-0.3180521964547264,0,NO-GO
BACE1_seed20260821,sensitivity,gmean,3,5,-0.03889297255354387,-0.1641165578042974,0.04222777300149775,-0.921028266211538,0.07028674371093849,-0.3111165984128518,0,NO-GO
BACE1_seed20260821,sensitivity,gmean,4,5,-0.03347199028530186,-0.1459673103369215,0.049828194838633405,-0.6717480011808484,0.0626630869567658,,0,NO-GO
BACE1_seed20260821,sensitivity,gmean,5,5,-0.0397284640295946,-0.14152749986156135,0.04823806513898188,-0.823591574726936,0.0405940146103904,,0,NO-GO
BACE1_seed20260821,sensitivity,gmean,6,5,-0.053274542953106144,-0.14724431955133432,0.04579756814865891,-1.1632613937093117,0.026946027115704384,,0,NO-GO
BACE1_seed20260821,sensitivity,hmean,1,5,-0.07188597069253046,-0.21341385850205458,0.0,nan,0.03762970236614428,,0,NO-GO
BACE1_seed20260821,sensitivity,hmean,2,5,-0.018369604965863047,-0.14331127667226215,0.04087034761649154,-0.44946045329085366,0.0778190988557146,-0.30474695800624324,0,NO-GO
BACE1_seed20260821,sensitivity,hmean,3,5,-0.032951843479094856,-0.14694514375056894,0.04539777715384953,-0.7258470688426798,0.07768255296105611,-0.30485932315492575,0,NO-GO
BACE1_seed20260821,sensitivity,hmean,4,5,-0.020431912468399697,-0.131685806526668,0.04910164647648415,-0.41611460988757243,0.060598566969525224,,0,NO-GO
BACE1_seed20260821,sensitivity,hmean,5,5,-0.03478214426202807,-0.14334436613921353,0.0506243916973539,-0.6870629571208478,0.048762145521708565,,0,NO-GO
BACE1_seed20260821,sensitivity,hmean,6,5,-0.02035045575334316,-0.10735362395735266,0.043115827891915585,-0.47199501316218406,0.03640439792002218,,0,NO-GO
BACE1_seed20260821,sensitivity,max,1,5,-0.07188597069253046,-0.21341385850205458,0.0,nan,0.03762970236614428,,0,NO-GO
BACE1_seed20260821,sensitivity,max,2,5,-0.03439656001670827,-0.16226579410329217,0.034182784532010006,-1.006253893227981,0.0587488271283748,-0.33662356770535673,0,NO-GO
BACE1_seed20260821,sensitivity,max,3,5,-0.026235610954839866,-0.15954710763073846,0.043183070406006094,-0.6075438987587807,0.07137503774667016,-0.330432430315653,0,NO-GO
BACE1_seed20260821,sensitivity,max,4,5,-0.02500215316704586,-0.11575642915175285,0.05234175317676857,-0.4776712977612459,0.050202458137930214,,0,NO-GO
BACE1_seed20260821,sensitivity,max,5,5,-0.009840491090888453,-0.13005973282560684,0.05395930007981127,-0.18236876824446147,0.057274682201912265,,0,NO-GO
BACE1_seed20260821,sensitivity,max,6,5,-0.03884339669217026,-0.1781326734816432,0.0649130730959337,-0.5983909687154143,0.04666771042480515,,0,NO-GO
BACE1_seed20260821,sensitivity,mean,1,5,-0.07188597069253046,-0.21341385850205458,0.0,nan,0.03762970236614428,,0,NO-GO
BACE1_seed20260821,sensitivity,mean,2,5,-0.04548158725282237,-0.1772553586070623,0.04257577441362979,-1.0682503813309934,0.06380475007257481,-0.3234565271166846,0,NO-GO
BACE1_seed20260821,sensitivity,mean,3,5,-0.0193789797756386,-0.1435505934123612,0.04283382632069961,-0.45242233627570255,0.0680266462288929,-0.3179406196208328,0,NO-GO
BACE1_seed20260821,sensitivity,mean,4,5,-0.04790144498995298,-0.16026949776374133,0.04138927845269836,-1.1573394555475771,0.059157610237991466,,0,NO-GO
BACE1_seed20260821,sensitivity,mean,5,5,-0.04413655100907922,-0.14151742606158654,0.04732733635225509,-0.9325805002118224,0.040990133343701184,,0,NO-GO
BACE1_seed20260821,sensitivity,mean,6,5,-0.07191380231893021,-0.16941955545907533,0.045333809315282206,-1.5863172189831352,0.02199756093406714,,0,NO-GO
BACE1_seed20260821,sensitivity,min,1,5,-0.07188597069253046,-0.21341385850205458,0.0,nan,0.03762970236614428,,0,NO-GO
BACE1_seed20260821,sensitivity,min,2,5,-0.0819984097074446,-0.20601795026787434,0.030862271424134613,-2.6569142815366793,0.06937750661612531,-0.31129771882860563,0,NO-GO
BACE1_seed20260821,sensitivity,min,3,5,-0.04786033536410614,-0.1690694719542458,0.049891514708977944,-0.9592880802132412,0.09426482350676632,-0.2894689038226897,0,NO-GO
BACE1_seed20260821,sensitivity,min,4,5,0.012387211383851482,-0.1143344336477389,0.05606418176895882,0.22094697528806062,0.11633338862968419,,0,NO-GO
BACE1_seed20260821,sensitivity,min,5,5,0.01843963850180206,-0.09267051622971234,0.05771065106195896,0.319518809136376,0.1180451439293767,,0,NO-GO
BACE1_seed20260821,sensitivity,min,6,5,0.011689460158723745,-0.08205405541882142,0.06070600853874297,0.19255853646288495,0.11749582778037677,,0,NO-GO
BACE1_seed20260821,sensitivity,ranksum,1,5,-0.060920050269323144,-0.20492429515171465,0.0,nan,0.03467205312578876,,0,NO-GO
BACE1_seed20260821,sensitivity,ranksum,2,5,-0.05519792854684173,-0.17794567791673938,0.027721077728623554,-1.991189847927406,0.054054988674070006,-0.3364443953095989,0,NO-GO
BACE1_seed20260821,sensitivity,ranksum,3,5,-0.04687911279727412,-0.18469973868502668,0.03458014648418225,-1.355665535387992,0.052429960646322174,-0.3413959232730029,0,NO-GO
BACE1_seed20260821,sensitivity,ranksum,4,5,-0.05839138544410187,-0.18082709667519475,0.037520928671039906,-1.5562350803212017,0.04933744072213238,,0,NO-GO
BACE1_seed20260821,sensitivity,ranksum,5,5,-0.05469070128030736,-0.16703326202019608,0.04512098743217885,-1.2120900803093617,0.04127129695329187,,0,NO-GO
BACE1_seed20260821,sensitivity,ranksum,6,5,-0.06034504141599243,-0.16286160930527577,0.05010689157892471,-1.2043261817776372,0.024509954234780296,,0,NO-GO
BACE1_seed20260821,sensitivity,rrf,1,5,-0.060920050269323144,-0.20492429515171465,0.0,nan,0.03467205312578876,,0,NO-GO
BACE1_seed20260821,sensitivity,rrf,2,5,-0.04733403665096809,-0.15969523935339902,0.038474872115665894,-1.230258453066956,0.05515196300432288,-0.3284384138822127,0,NO-GO
BACE1_seed20260821,sensitivity,rrf,3,5,-0.04404789180357871,-0.16833074298733378,0.03499160305483725,-1.2588131996853318,0.06273272950703218,-0.3184785579243673,0,NO-GO
BACE1_seed20260821,sensitivity,rrf,4,5,-0.06825651275756009,-0.1968418262477989,0.03893028988866852,-1.7533009117773763,0.06601269145308922,,0,NO-GO
BACE1_seed20260821,sensitivity,rrf,5,5,-0.05993341718283608,-0.16734843324712032,0.04333116368856192,-1.3831481105285117,0.045069196173823343,,0,NO-GO
BACE1_seed20260821,sensitivity,rrf,6,5,-0.0653777421729042,-0.16474052635951014,0.0447851017437233,-1.459810062440396,0.033962074499758535,,0,NO-GO
BACE1_seed20260821,sensitivity,zmean,1,5,-0.07188597069253046,-0.21341385850205458,0.0,nan,0.03762970236614428,,0,NO-GO
BACE1_seed20260821,sensitivity,zmean,2,5,-0.034948292571428625,-0.16105018514143893,0.04530274428162858,-0.7714387533384164,0.06611618300497454,-0.3195343951318496,0,NO-GO
BACE1_seed20260821,sensitivity,zmean,3,5,-0.042360469122020766,-0.17322619513089577,0.043523836487083245,-0.973270569440547,0.06351531079150854,-0.3218148105370542,0,NO-GO
BACE1_seed20260821,sensitivity,zmean,4,5,-0.04538607989338849,-0.16085826582997692,0.04734000450398128,-0.9587257197994465,0.05070594684340227,,0,NO-GO
BACE1_seed20260821,sensitivity,zmean,5,5,-0.062469682073822995,-0.16526165707707333,0.04498991836943024,-1.3885262373863276,0.03453376075406715,,0,NO-GO
BACE1_seed20260821,sensitivity,zmean,6,5,-0.07280034665059541,-0.16493673203451026,0.04584771654402956,-1.5878729005114587,0.02370597191551057,,0,NO-GO
BACE1_seed20260822,sensitivity,gmean,1,5,-0.0794918807306589,-0.17070923917865213,0.0,nan,0.0184996217091432,,0,NO-GO
