bedroc20,budget,coverage,ef1,ef10,ef5,eval_coverage,eval_mean_depth,eval_n,fold,jobs_used,max_depth,mean_depth,n_docked,phi,policy,pr_auc,recall1,recall10,recall5,receptor_usage,ref_pr_auc,role,stages,target_id
0.4066113010382992,600,1.0,2.5,1.6666666666666665,1.6666666666666665,1.0,1.0,120,1,600,1,1.0,600,mean,s1_width,0.3777867443659651,0.041666666666666664,0.16666666666666666,0.08333333333333333,1,0.3777867443659651,primary,width,MK14
0.4066113010382992,1200,1.0,2.5,1.6666666666666665,1.6666666666666665,1.0,1.0,120,1,600,1,1.0,600,mean,s1_width,0.3777867443659651,0.041666666666666664,0.16666666666666666,0.08333333333333333,1,0.3777867443659651,primary,width,MK14
0.4066113010382992,2400,1.0,2.5,1.6666666666666665,1.6666666666666665,1.0,1.0,120,1,600,1,1.0,600,mean,s1_width,0.3777867443659651,0.041666666666666664,0.16666666666666666,0.08333333333333333,1,0.3777867443659651,primary,width,MK14
0.4066113010382992,3600,1.0,2.5,1.6666666666666665,1.6666666666666665,1.0,1.0,120,1,600,1,1.0,600,mean,s1_width,0.3777867443659651,0.041666666666666664,0.16666666666666666,0.08333333333333333,1,0.3777867443659651,primary,width,MK14
0.4066113010382992,4800,1.0,2.5,1.6666666666666665,1.6666666666666665,1.0,1.0,120,1,600,1,1.0,600,mean,s1_width,0.3777867443659651,0.041666666666666664,0.16666666666666666,0.08333333333333333,1,0.3777867443659651,primary,width,MK14
0.4066113010382992,600,1.0,2.5,1.6666666666666665,1.6666666666666665,1.0,1.0,120,1,600,1,1.0,600,mean,s2_uniform,0.3777867443659651,0.041666666666666664,0.16666666666666666,0.08333333333333333,1,0.3777867443659651,primary,uniform,MK14
0.7169525122667243,1200,1.0,5.0,2.9166666666666665,5.0,1.0,2.0,120,1,1200,2,2.0,600,mean,s2_uniform,0.5245910347768702,0.08333333333333333,0.2916666666666667,0.25,2,0.3777867443659651,primary,uniform,MK14
0.6186852279828762,2400,1.0,5.0,2.0833333333333335,4.166666666666667,1.0,4.0,120,1,2400,4,4.0,600,mean,s2_uniform,0.47594802938170977,0.08333333333333333,0.20833333333333334,0.20833333333333334,4,0.3777867443659651,primary,uniform,MK14
0.5168626240139192,3600,1.0,5.0,2.0833333333333335,2.5,1.0,6.0,120,1,3600,6,6.0,600,mean,s2_uniform,0.4375177742786813,0.08333333333333333,0.20833333333333334,0.125,6,0.3777867443659651,primary,uniform,MK14
0.5620681747101187,4800,1.0,5.0,2.0833333333333335,3.333333333333333,1.0,8.0,120,1,4800,8,8.0,600,mean,s2_uniform,0.4665507758228779,0.08333333333333333,0.20833333333333334,0.16666666666666666,8,0.3777867443659651,primary,uniform,MK14
0.4066113010382992,600,1.0,2.5,1.6666666666666665,1.6666666666666665,1.0,1.0,120,1,600,1,1.0,600,mean,s3_top10,0.3777867443659651,0.041666666666666664,0.16666666666666666,0.08333333333333333,1,0.3777867443659651,primary,primary_all|top_up,MK14
0.5713933854618526,1200,1.0,5.0,2.0833333333333335,3.333333333333333,1.0,2.4166666666666665,120,1,1200,11,2.0,600,mean,s3_top10,0.46124992130340675,0.08333333333333333,0.20833333333333334,0.16666666666666666,11,0.3777867443659651,primary,primary_all|top_up,MK14
0.5674869159525148,2400,1.0,5.0,2.5,3.333333333333333,1.0,2.9833333333333334,120,1,1440,15,2.4,600,mean,s3_top10,0.4596244668286876,0.08333333333333333,0.25,0.16666666666666666,15,0.3777867443659651,primary,primary_all|top_up,MK14
0.5674869159525148,3600,1.0,5.0,2.5,3.333333333333333,1.0,2.9833333333333334,120,1,1440,15,2.4,600,mean,s3_top10,0.4596244668286876,0.08333333333333333,0.25,0.16666666666666666,15,0.3777867443659651,primary,primary_all|top_up,MK14
0.5674869159525148,4800,1.0,5.0,2.5,3.333333333333333,1.0,2.9833333333333334,120,1,1440,15,2.4,600,mean,s3_top10,0.4596244668286876,0.08333333333333333,0.25,0.16666666666666666,15,0.3777867443659651,primary,primary_all|top_up,MK14
0.4066113010382992,600,1.0,2.5,1.6666666666666665,1.6666666666666665,1.0,1.0,120,1,600,1,1.0,600,mean,s3_top25,0.3777867443659651,0.041666666666666664,0.16666666666666666,0.08333333333333333,1,0.3777867443659651,primary,primary_all|top_up,MK14
0.5484468334700021,1200,1.0,5.0,2.5,2.5,1.0,2.2,120,1,1200,5,2.0,600,mean,s3_top25,0.44602755244205566,0.08333333333333333,0.25,0.125,5,0.3777867443659651,primary,primary_all|top_up,MK14
0.5172787737639948,2400,1.0,5.0,2.0833333333333335,3.333333333333333,1.0,4.6,120,1,2400,13,4.0,600,mean,s3_top25,0.43125352843275017,0.08333333333333333,0.20833333333333334,0.16666666666666666,13,0.3777867443659651,primary,primary_all|top_up,MK14
0.4889588585475915,3600,1.0,2.5,2.0833333333333335,3.333333333333333,1.0,5.2,120,1,2700,15,4.5,600,mean,s3_top25,0.41385094668467987,0.041666666666666664,0.20833333333333334,0.16666666666666666,15,0.3777867443659651,primary,primary_all|top_up,MK14
0.4889588585475915,4800,1.0,2.5,2.0833333333333335,3.333333333333333,1.0,5.2,120,1,2700,15,4.5,600,mean,s3_top25,0.41385094668467987,0.041666666666666664,0.20833333333333334,0.16666666666666666,15,0.3777867443659651,primary,primary_all|top_up,MK14
0.4066113010382992,600,1.0,2.5,1.6666666666666665,1.6666666666666665,1.0,1.0,120,1,600,1,1.0,600,mean,s3_top50,0.3777867443659651,0.041666666666666664,0.16666666666666666,0.08333333333333333,1,0.3777867443659651,primary,primary_all|top_up,MK14
0.67859358455263,1200,1.0,5.0,3.333333333333333,4.166666666666667,1.0,2.066666666666667,120,1,1200,3,2.0,600,mean,s3_top50,0.5083361267252187,0.08333333333333333,0.3333333333333333,0.20833333333333334,3,0.3777867443659651,primary,primary_all|top_up,MK14
0.5499681073202579,2400,1.0,5.0,2.0833333333333335,3.333333333333333,1.0,4.2,120,1,2400,7,4.0,600,mean,s3_top50,0.456784652869586,0.08333333333333333,0.20833333333333334,0.16666666666666666,7,0.3777867443659651,primary,primary_all|top_up,MK14
0.5686674772062948,3600,1.0,5.0,2.0833333333333335,3.333333333333333,1.0,6.333333333333333,120,1,3600,11,6.0,600,mean,s3_top50,0.4613968146178344,0.08333333333333333,0.20833333333333334,0.16666666666666666,11,0.3777867443659651,primary,primary_all|top_up,MK14
0.48049536380093116,4800,1.0,2.5,1.6666666666666665,3.333333333333333,1.0,8.466666666666667,120,1,4800,15,8.0,600,mean,s3_top50,0.410257470238955,0.041666666666666664,0.16666666666666666,0.16666666666666666,15,0.3777867443659651,primary,primary_all|top_up,MK14
0.5736258658017418,600,0.7233333333333334,5.0,2.0833333333333335,3.333333333333333,0.7083333333333334,1.4823529411764707,120,1,600,3,1.3824884792626728,434,mean,s4_scaffold25,0.4756698027663664,0.08333333333333333,0.20833333333333334,0.16666666666666666,3,0.3777867443659651,primary,scaffold_representatives|expand_top_groups,MK14
0.5726315250180071,1200,0.7233333333333334,5.0,2.0833333333333335,3.333333333333333,0.7083333333333334,3.0941176470588236,120,1,1200,8,2.7649769585253456,434,mean,s4_scaffold25,0.4773022699946908,0.08333333333333333,0.20833333333333334,0.16666666666666666,8,0.3777867443659651,primary,scaffold_representatives|expand_top_groups,MK14
0.5087867561557261,2400,0.7233333333333334,2.5,2.0833333333333335,3.333333333333333,0.7083333333333334,5.729411764705882,120,1,2150,15,4.953917050691245,434,mean,s4_scaffold25,0.44074414146770735,0.041666666666666664,0.20833333333333334,0.16666666666666666,15,0.3777867443659651,primary,scaffold_representatives|expand_top_groups,MK14
0.5087867561557261,3600,0.7233333333333334,2.5,2.0833333333333335,3.333333333333333,0.7083333333333334,5.729411764705882,120,1,2150,15,4.953917050691245,434,mean,s4_scaffold25,0.44074414146770735,0.041666666666666664,0.20833333333333334,0.16666666666666666,15,0.3777867443659651,primary,scaffold_representatives|expand_top_groups,MK14
0.5087867561557261,4800,0.7233333333333334,2.5,2.0833333333333335,3.333333333333333,0.7083333333333334,5.729411764705882,120,1,2150,15,4.953917050691245,434,mean,s4_scaffold25,0.44074414146770735,0.041666666666666664,0.20833333333333334,0.16666666666666666,15,0.3777867443659651,primary,scaffold_representatives|expand_top_groups,MK14
0.584079237099992,600,0.7366666666666667,2.5,2.5,3.333333333333333,0.725,1.4482758620689655,120,1,600,2,1.3574660633484164,442,mean,s4_scaffold50,0.48170860035737323,0.041666666666666664,0.25,0.16666666666666666,2,0.3777867443659651,primary,scaffold_representatives|expand_top_groups,MK14
0.5422017898804484,1200,0.755,5.0,2.5,2.5,0.7416666666666667,2.865168539325843,120,1,1200,5,2.6490066225165565,453,mean,s4_scaffold50,0.4649932149012865,0.08333333333333333,0.25,0.125,5,0.3777867443659651,primary,scaffold_representatives|expand_top_groups,MK14
0.5466362812054248,2400,0.755,5.0,1.6666666666666665,3.333333333333333,0.7416666666666667,5.910112359550562,120,1,2400,10,5.298013245033113,453,mean,s4_scaffold50,0.4682078672078376,0.08333333333333333,0.16666666666666666,0.16666666666666666,10,0.3777867443659651,primary,scaffold_representatives|expand_top_groups,MK14
0.5076465092840023,3600,0.755,5.0,1.6666666666666665,3.333333333333333,0.7416666666666667,8.910112359550562,120,1,3600,14,7.947019867549669,453,mean,s4_scaffold50,0.43832422552293687,0.08333333333333333,0.16666666666666666,0.16666666666666666,14,0.3777867443659651,primary,scaffold_representatives|expand_top_groups,MK14
