target_id,role,phi,policy,budget,n_folds,pr_auc_mean,pr_auc_std,delta_mean,delta_worst_fold,positive_folds,bedroc20_mean,recall5_mean,coverage_mean,eval_coverage_mean,eval_mean_depth_mean,jobs_used_mean
BACE1,primary,mean,s1_width,600,5,0.6246422826462309,0.14737744755522472,0.0,0.0,0,0.7736385414797018,0.20833333333333334,1.0,1.0,1.0,600.0
BACE1,primary,mean,s1_width,1200,5,0.6246422826462309,0.14737744755522472,0.0,0.0,0,0.7736385414797018,0.20833333333333334,1.0,1.0,1.0,600.0
BACE1,primary,mean,s1_width,2400,5,0.6246422826462309,0.14737744755522472,0.0,0.0,0,0.7736385414797018,0.20833333333333334,1.0,1.0,1.0,600.0
BACE1,primary,mean,s1_width,3600,5,0.6246422826462309,0.14737744755522472,0.0,0.0,0,0.7736385414797018,0.20833333333333334,1.0,1.0,1.0,600.0
BACE1,primary,mean,s1_width,4800,5,0.6246422826462309,0.14737744755522472,0.0,0.0,0,0.7736385414797018,0.20833333333333334,1.0,1.0,1.0,600.0
BACE1,primary,mean,s2_uniform,600,5,0.6246422826462309,0.14737744755522472,0.0,0.0,0,0.7736385414797018,0.20833333333333334,1.0,1.0,1.0,600.0
BACE1,primary,mean,s2_uniform,1200,5,0.6183266565400276,0.15550563655768085,-0.00631562610620331,-0.021756140621340347,2,0.7647279267413676,0.20833333333333334,1.0,1.0,2.0,1200.0
BACE1,primary,mean,s2_uniform,2400,5,0.6257018080022893,0.14895153697927419,0.0010595253560582996,-0.022607248845000538,3,0.7760131071792485,0.225,1.0,1.0,4.0,2400.0
BACE1,primary,mean,s2_uniform,3600,5,0.6245162458200852,0.13476024252168262,-0.00012603682614570344,-0.054733225225929494,3,0.7894579133788233,0.23333333333333334,1.0,1.0,6.0,3600.0
BACE1,primary,mean,s2_uniform,4800,5,0.6252770344766391,0.13753786621667127,0.0006347518304080757,-0.06134751833917973,3,0.7836825112512041,0.225,1.0,1.0,8.0,4800.0
BACE1,primary,mean,s3_top10,600,5,0.6246422826462309,0.14737744755522472,0.0,0.0,0,0.7736385414797018,0.20833333333333334,1.0,1.0,1.0,600.0
BACE1,primary,mean,s3_top10,1200,5,0.5875731281880194,0.16360329633274995,-0.037069154458211497,-0.06783806549829469,0,0.7325489559382145,0.19166666666666668,1.0,1.0,2.0000000000000004,1200.0
BACE1,primary,mean,s3_top10,2400,5,0.5521925454661016,0.17092608645517748,-0.07244973718012929,-0.10954730106003857,0,0.67061349997248,0.175,1.0,1.0,2.4,1440.0
BACE1,primary,mean,s3_top10,3600,5,0.5521925454661016,0.17092608645517748,-0.07244973718012929,-0.10954730106003857,0,0.67061349997248,0.175,1.0,1.0,2.4,1440.0
