target_id,phi,policy,budget,n_folds,folds,mean_delta,worst_fold_delta,positive_folds,bootstrap_mean,se,ci95_low,ci95_high,mde
BACE1,min,s3_top10,4800,5,1|2|3|4|5,-0.005029365378630068,-0.08506944444444436,3,-0.0033244355514262516,0.014854621637207889,-0.03197520451770453,0.025327221565850478,0.04382110111599332
BACE1,min,s3_top25,4800,5,1|2|3|4|5,-0.023220900182175208,-0.10722375811721613,2,-0.021685561777591712,0.019228756553876902,-0.05789908242081039,0.017157940240151836,0.05672478948717545
BACE1,min,s3_top50,4800,5,1|2|3|4|5,-0.034257995822697264,-0.1193229219588191,1,-0.031874556444279736,0.02349750873568755,-0.07920969298120721,0.01258805413069226,0.06931759902260579
BACE1,min,s4_scaffold25,4800,5,1|2|3|4|5,0.043813191503293714,-0.02797284432452163,4,0.04252266118804457,0.026046655877716235,-0.007659454481520731,0.09605264237934572,0.07683757747770033
BACE1,min,s4_scaffold50,4800,5,1|2|3|4|5,0.0026553668965892396,-0.06338824127100795,2,0.0015283481804358615,0.028858778741146774,-0.054976787854421456,0.058373554059808166,0.08513333373178887
BACE1,min,s5_score_oracle,4800,5,1|2|3|4|5,-0.014890018272294848,-0.07716316540817575,3,-0.010583725867663681,0.027825760062794386,-0.06301211173858698,0.04518132604701496,0.08208593090562719
CDK2,mean,s2_uniform,600,4,0|1|2|3,0.03994958622836833,0.0038545968392105223,4,0.03718075984539679,0.0213372305633689,-0.0031693201689895942,0.08092597643454313,0.06294478317176448
CDK2,mean,s3_top10,600,4,0|1|2|3,-0.012492254344476234,-0.06893206413506925,1,-0.014734926072788654,0.024344847091053345,-0.06379473447131155,0.031486904996201916,0.07181724530487375
CDK2,mean,s3_top25,600,4,0|1|2|3,-0.015744185143805878,-0.10841822620517672,2,-0.018337408395236395,0.03080955653351327,-0.0777505014206008,0.04372932954733728,0.09088812392314607
CDK2,mean,s3_top50,600,4,0|1|2|3,0.03835223534361015,-0.02789560694737092,3,0.03283297297413389,0.02399436743049703,-0.01106644975170706,0.08265573819623366,0.0707833310780807
CDK2,mean,s4_scaffold25,600,4,0|1|2|3,-0.015744185143805878,-0.10841822620517672,2,-0.018337408395236395,0.03080955653351327,-0.0777505014206008,0.04372932954733728,0.09088812392314607
CDK2,mean,s4_scaffold50,600,4,0|1|2|3,0.03835223534361015,-0.02789560694737092,3,0.03283297297413389,0.02399436743049703,-0.01106644975170706,0.08265573819623366,0.0707833310780807
CDK2,mean,s5_score_oracle,600,4,0|1|2|3,0.05289273547871387,-0.010908995245033637,3,0.048088890710127286,0.026948298309694294,-0.00457890761405714,0.1018132005725481,0.07949742066638266
CDK2,mean,s2_uniform,1200,4,0|1|2|3,0.06119175590300774,-0.0016491584914293256,3,0.05625985273818562,0.026692686938718704,0.007204337879532458,0.11038872804401748,0.0787433676849279
CDK2,mean,s3_top10,1200,4,0|1|2|3,-0.012492254344476234,-0.06893206413506925,1,-0.014734926072788654,0.024344847091053345,-0.06379473447131155,0.031486904996201916,0.07181724530487375
CDK2,mean,s3_top25,1200,4,0|1|2|3,-0.035790362429836964,-0.14718168846752777,2,-0.038094658441514315,0.032804588851346836,-0.10048588950715255,0.030333191699339353,0.09677346486717107
CDK2,mean,s3_top50,1200,4,0|1|2|3,0.008255697437382914,-0.04698427178523534,2,0.0033385776405880137,0.030250731459525726,-0.057474940835444244,0.06202813874363774,0.08923959118556209
CDK2,mean,s4_scaffold25,1200,4,0|1|2|3,-0.035790362429836964,-0.14718168846752777,2,-0.038094658441514315,0.032804588851346836,-0.10048588950715255,0.030333191699339353,0.09677346486717107
CDK2,mean,s4_scaffold50,1200,4,0|1|2|3,0.008255697437382914,-0.04698427178523534,2,0.0033385776405880137,0.030250731459525726,-0.057474940835444244,0.06202813874363774,0.08923959118556209
